train_loss,valid_loss
9.376254083105569e-07,1.6931076483160724e-06
8.944850043244301e-07,4.425423637854919e-09
9.230088613334076e-07,2.0334599187966282e-07
8.329317952158632e-07,7.418266543481878e-08
9.289164456951937e-07,3.626971183621208e-08
9.039602589874462e-07,4.461325933628283e-09
9.290029274264218e-07,1.6005015792567672e-07
8.95884258389934e-07,3.046116544282995e-07
8.622754739217105e-07,1.170660477085524e-06
8.788390865851407e-07,6.420529327139472e-08
9.169240975863839e-07,2.600648276048408e-09
8.747190963206346e-07,3.24438211555389e-07
8.951205542279202e-07,1.732037700018433e-07
8.753023886609886e-07,3.2429095998243914e-07
9.270397384084935e-07,2.5319405240831353e-06
7.23149171381839e-07,6.828070886209995e-07
7.785662350764611e-07,7.921092041215161e-07
8.00195680991204e-07,2.3044600022027833e-07
8.057325132836486e-07,5.293989100816058e-07
7.853100941649889e-07,1.0436710870938745e-08
7.767149342212675e-07,2.2772921535458104e-07
8.152681777599942e-07,1.7796227764203348e-08
8.127305198389223e-07,6.0092617211182644e-09
7.500695089413867e-07,1.0617806580815643e-07
8.486875885332997e-07,4.672631183666453e-09
7.550327126015925e-07,3.102109992217569e-08
8.039655970353721e-07,1.520895948440663e-09
6.534451170050323e-07,1.266468896119477e-08
7.330662887636544e-07,4.6304532835771774e-07
6.926702379418614e-07,5.455069612594343e-08
7.322372067090299e-07,4.233788798302384e-09
6.721486444978571e-07,3.8091429980947093e-06
7.299927354792975e-07,1.4675909958896228e-06
6.864048616641583e-07,2.7341702672363986e-08
7.019430924525949e-07,4.402924888230094e-08
7.122833883843309e-07,3.2910837950718513e-07
6.780133584239086e-07,2.3979342914988894e-08
6.990162053615615e-07,4.909140694204931e-07
7.474480877040908e-07,5.121290281870946e-06
5.787579011962289e-07,8.955359416480254e-07
6.417693093183926e-07,1.9378133735396357e-08
6.384151482636232e-07,1.6202634114866517e-08
6.121205556597194e-07,4.921011268190038e-08
6.485468275838179e-07,3.356466134600093e-09
6.089003085877564e-07,2.705270359729184e-06
6.237672551140309e-07,1.9647280562367086e-07
